id,source,target,size
11464,12067,14348,1
11465,12068,14348,1
11466,12069,13134,1
11467,12070,14348,1
11468,12070,44143,1
11469,12071,14348,1
11470,12072,14348,1
11471,12073,12072,1
11472,12074,12072,1
11473,12075,12070,1
11474,12076,12075,1
11475,12077,12076,1
11476,12078,12075,1
11477,12079,12075,1
11478,12080,12079,1
11479,12081,12075,1
11480,12082,12070,1
11481,12083,16386,1
11482,12084,12083,1
11483,12085,11785,1
11484,12086,11790,1
11485,12087,11790,1
11486,12088,12086,1
11487,12089,12088,1
11488,12090,12088,1
11489,12091,11790,1
11490,12092,12091,1
11491,12093,12091,1
11492,12094,11790,1
11493,12095,11790,1
11494,12096,12095,1
11495,12097,12095,1
11496,12098,12095,1
11497,12099,12095,1
11498,12100,12095,1
11499,12101,12095,1
11500,12102,12095,1
11501,12103,12095,1
11502,12104,12095,1
11503,12105,12095,1
11504,12106,12095,1
11505,12107,12095,1
11506,12108,12103,1
11507,12109,12103,1
11508,12110,12103,1
11509,12111,12103,1
11510,12112,12103,1
11511,12113,12103,1
11512,12114,12103,1
11513,12115,12103,1
11514,12116,12103,1
11515,12117,12103,1
11516,12118,12103,1
11517,12119,12114,1
11518,12120,12103,1
11519,12121,12103,1
11520,12122,12103,1
11521,12123,12103,1
11522,12124,15561,1
11523,12125,12124,1
11524,12126,12124,1
11525,12127,12126,1
11526,12128,12124,1
11527,12129,12124,1
11528,12130,12129,1
11529,12131,12124,1
11530,12132,12124,1
11531,12133,12124,1
11532,12134,12124,1
11533,12135,12124,1
11534,12136,12124,1
11535,12137,12124,1
11536,12138,11790,1
11537,12139,12138,1
11538,12140,12139,1
11539,12141,12138,1
11540,12142,12138,1
11541,12143,12142,1
11542,12144,12138,1
11543,12145,12144,1
11544,12146,12144,1
11545,12147,12146,1
11546,12148,11790,1
11547,12149,12148,1
11548,12150,12148,1
11549,12151,12150,1
11550,12152,12148,1
11551,12153,12148,1
11552,12154,12148,1
11553,12155,12148,1
11554,12156,12148,1
11555,12157,11790,1
11556,12158,11790,1
11557,12159,12622,1
11558,12160,15942,1
11559,12161,15942,1
11561,12162,12158,1
11560,12162,15942,1
11562,12163,12158,1
11563,12164,15942,1
11564,12165,15942,1
11565,12166,12158,1
11566,12167,12158,1
11568,12168,12158,1
11567,12168,15942,1
11569,12169,12168,1
11570,12170,12168,1
11571,12171,12168,1
11572,12172,12171,1
11573,12173,15797,1
11574,12174,11790,1
11575,12175,12174,1
11576,12176,12174,1
11577,12177,12174,1
11578,12178,12174,1
11579,12179,12174,1
11580,12180,11790,1
11581,12181,12101,1
11582,12182,11778,1
11583,12183,12182,1
11584,12184,12183,1
11585,12185,12184,1
11586,12186,12185,1
11587,12187,12183,1
11588,12188,11790,1
11589,12189,11790,1
11590,12190,12189,1
11591,12191,12189,1
11592,12192,12189,1
11593,12193,12192,1
11594,12194,17355,1
11595,12195,12189,1
11596,12196,12195,1
11597,12197,12195,1
11598,12198,12189,1
11599,12199,12190,1
11600,12200,12189,1
11601,12201,17501,1
11602,12202,12189,1
11603,12203,11795,1
11604,12204,12203,1
11605,12205,12204,1
11606,12206,11795,1
11607,12207,11795,1
11608,12208,12207,1
11609,12209,12207,1
11610,12210,12209,1
11611,12211,15546,1
11612,12212,12292,1
11613,12213,11773,1
11614,12214,11773,1
11615,12215,11773,1
11616,12216,11748,1
11617,12217,15546,1
11618,12218,15546,1
11619,12219,12203,1
11620,12220,15467,1
11621,12221,12203,1
11622,12222,12207,1
11623,12223,12207,1
11624,12224,12223,1
11625,12225,12223,1
11626,12226,12207,1
11627,12227,12226,1
11628,12228,12226,1
11629,12229,11901,1
11630,12230,12229,1
11631,12231,12229,1
11632,12232,12231,1
11633,12233,12230,1
11634,12234,12230,1
11635,12235,12234,1
11636,12236,11784,1
11637,12237,13946,1
11638,12238,12207,1
11639,12239,12223,1
11640,12240,12207,1
11641,12241,12247,1
11642,12242,12248,1
11643,12243,12249,1
11644,12244,12207,1
11645,12245,12236,1
11646,12246,12245,1
11647,12247,12236,1
11648,12248,12236,1
11649,12249,12236,1
11650,12250,17509,1
11651,12251,17509,1
11652,12252,17509,1
11653,12253,17509,1
11654,12254,17509,1
11655,12255,17509,1
11656,12256,17509,1
11657,12257,12256,1
11658,12258,17509,1
11659,12259,12253,1
11660,12260,17509,1
11661,12261,17509,1
11662,12262,17509,1
11663,12263,11795,1
11664,12264,12261,1
11665,12265,12261,1
11666,12266,12261,1
11667,12267,12261,1
11668,12268,12261,1
11669,12269,12261,1
11670,12270,12266,1
11671,12271,17509,1
11672,12272,12271,1
11673,12273,12271,1
11674,12274,12271,1
11675,12275,12271,1
11676,12276,12275,1
11677,12277,12276,1
11678,12278,12271,1
11679,12279,11795,1
11680,12280,11795,1
11681,12281,12203,1
11682,12282,12280,1
11683,12283,12282,1
11684,12284,12280,1
11685,12285,11795,1
11686,12286,12285,1
11687,12287,12285,1
11688,12288,12285,1
11689,12289,12285,1
11690,12290,12285,1
11691,12291,12285,1
11692,12292,11795,1
11693,12293,11795,1
11694,12294,11795,1
11695,12295,14807,1
11696,12296,14807,1
11697,12297,11804,1
11698,12298,16018,1
11699,12299,12298,1
11700,12300,14807,1
11701,12301,14807,1
11702,12302,14807,1
11703,12303,14807,1
11704,12304,14807,1
11705,12305,14807,1
11707,12306,11795,1
11706,12306,14807,1
11708,12307,12306,1
11709,12308,11795,1
11710,12309,11795,1
11711,12310,12309,1
11712,12311,11795,1
11713,12312,13488,1
11714,12313,12312,1
11715,12314,12312,1
11716,12315,12312,1
11717,12316,12312,1
11718,12317,12312,1
11719,12318,12312,1
11720,12319,12318,1
11721,12320,12319,1
11722,12321,12312,1
11723,12322,12312,1
11724,12323,12312,1
11725,12324,12312,1
11726,12325,12587,1
11727,12326,12587,1
11728,12327,12333,1
11729,12328,12327,1
11730,12328,15886,1
11731,12329,12324,1
11732,12330,12324,1
11733,12331,12324,1
11734,12332,12324,1
11735,12333,12324,1
11736,12334,12325,1
11737,12335,12324,1
11738,12336,12335,1
11739,12337,12335,1
11740,12338,12223,1
11741,12339,12223,1
11742,12340,12336,1
11743,12341,11795,1
11744,12342,11795,1
11745,12343,11782,1
11746,12344,11782,1
11747,12345,11782,1
11748,12346,11782,1
11749,12347,11782,1
11750,12348,12346,1
11751,12349,16742,1
11752,12350,16742,1
11753,12351,16742,1
11754,12352,12348,1
11755,12353,12352,1
11756,12354,12352,1
11757,12355,12475,1
11758,12356,12354,1
11759,12357,12354,1
11760,12358,12346,1
11761,12359,12346,1
11762,12360,12359,1
11763,12361,12359,1
11764,12362,12359,1
11765,12363,12359,1
11766,12364,12639,1
11767,12365,12346,1
11768,12366,12346,1
11769,12367,12366,1
11770,12368,12346,1
11771,12369,12346,1
11772,12370,12346,1
11773,12371,11778,1
11774,12372,12371,1
11775,12373,11778,1
11776,12374,11778,1
11777,12375,12374,1
11778,12376,12374,1
11779,12377,12376,1
11780,12378,12376,1
11781,12379,12374,1
11782,12380,12374,1
11783,12381,12380,1
11784,12382,12374,1
11785,12383,11778,1
11786,12384,12383,1
11787,12385,12374,1
11788,12386,12374,1
11789,12387,12386,1
11790,12388,12387,1
11791,12389,12386,1
11792,12390,12386,1
11793,12391,11886,1
11794,12392,12391,1
11795,12393,12386,1
11796,12394,12374,1
11797,12395,11757,1
11798,12396,12395,1
11799,12397,12395,1
11800,12398,12395,1
11801,12399,12398,1
11802,12400,12399,1
11803,12401,12398,1
11804,12402,12395,1
11805,12403,12395,1
11806,12404,12403,1
11807,12405,12548,1
11808,12406,12548,1
11809,12407,12402,1
11810,12408,12407,1
11811,12409,17054,1
11812,12410,12409,1
11813,12411,12402,1
11814,12412,12407,1
11815,12413,12407,1
11816,12414,12407,1
11817,12415,12407,1
11818,12416,12414,1
11819,12417,12402,1
11820,12418,13885,1
11821,12419,12418,1
11822,12420,12419,1
11823,12421,12419,1
11824,12422,12421,1
11825,12423,12421,1
11826,12424,12419,1
11827,12425,12424,1
11828,12426,12419,1
11829,12427,12419,1
11830,12428,12417,1
11831,12429,12417,1
11832,12430,12429,1
11833,12431,12548,1
11834,12432,12431,1
11835,12433,12443,1
11836,12434,12433,1
11837,12435,12443,1
11838,12436,12443,1
11839,12437,12436,1
11840,12438,12436,1
11841,12439,12443,1
11842,12440,12439,1
11843,12441,12439,1
11844,12442,12443,1
11845,12443,11863,1
11846,12444,11863,1
11847,12445,12429,1
11848,12446,12445,1
11849,12447,12446,1
11850,12448,12429,1
11851,12449,12448,1
11852,12450,12429,1
11853,12451,12429,1
11854,12452,12429,1
11855,12453,11785,1
11856,12454,12453,1
11857,12455,12453,1
11858,12456,12453,1
11859,12457,12453,1
11860,12458,12453,1
11861,12459,12458,1
11862,12460,12453,1
11863,12461,12429,1
11864,12462,12461,1
11865,12463,15570,1
11866,12464,15570,1
11867,12465,15566,1
11868,12466,12465,1
11869,12467,12461,1
11870,12468,12467,1
11871,12469,12467,1
11872,12470,12467,1
11873,12471,12467,1
11874,12472,12471,1
11875,12473,12467,1
11876,12474,12467,1
11877,12475,16742,1
11878,12476,12453,1
11879,12477,16742,1
11880,12478,16742,1
11881,12479,12478,1
11882,12480,12476,1
11883,12481,12476,1
11884,12482,12476,1
11885,12483,12476,1
11886,12484,12453,1
11887,12485,12453,1
11888,12486,12453,1
11889,12487,12453,1
11890,12488,12453,1
11891,12489,12453,1
11892,12490,12402,1
11893,12491,12402,1
11894,12492,17707,1
11895,12493,12492,1
11896,12494,12395,1
11897,12495,12494,1
11898,12496,12499,1
11899,12497,12500,1
11900,12498,12500,1
11901,12499,12500,1
11902,12500,17042,1
11903,12501,12499,1
11904,12502,12499,1
11905,12503,12502,1
11906,12504,12503,1
11907,12505,12503,1
11908,12506,12499,1
11909,12507,12499,1
11910,12508,12395,1
11911,12509,12508,1
11912,12510,12494,1
11913,12511,12508,1
11914,12512,12508,1
11915,12513,12508,1
11916,12514,12508,1
11917,12515,12508,1
11918,12516,11787,1
11919,12517,11787,1
11920,12518,11779,1
11921,12519,12518,1
11922,12520,11779,1
11923,12521,11779,1
11924,12522,11779,1
11925,12523,11886,1
11926,12524,82159,1
11927,12525,12523,1
11928,12526,12523,1
11929,12527,12526,1
11930,12528,12523,1
11931,12529,12523,1
11932,12530,12523,1
11933,12531,82159,1
11934,12532,14389,1
11935,12533,12523,1
11936,12534,12523,1
11937,12535,12523,1
11938,12536,12523,1
11939,12537,12536,1
11940,12538,82159,1
11941,12539,12523,1
11942,12540,12539,1
11943,12541,12539,1
11944,12542,12539,1
11945,12543,82159,1
11946,12544,12523,1
11947,12545,12523,1
11948,12546,11886,1
11949,12547,11794,1
11950,12548,11757,1
11951,12549,12548,1
11952,12550,12549,1
11953,12551,12548,1
11954,12552,12551,1
11955,12553,11757,1
11956,12554,12553,1
11957,12555,12553,1
11958,12556,12587,1
11959,12557,12587,1
11960,12558,12557,1
11961,12559,12557,1
11962,12560,12326,1
11963,12561,12556,1
11964,12562,12556,1
11965,12563,12548,1
11966,12564,12548,1
11967,12565,12556,1
11968,12566,13651,1
11969,12567,12548,1
11970,12568,12548,1
11971,12569,12548,1
11972,12570,12548,1
11973,12571,12548,1
11974,12572,12571,1
11975,12573,12548,1
11976,12574,12579,1
11977,12575,12579,1
11978,12576,12669,1
11979,12577,12579,1
11980,12578,12579,1
11981,12579,12573,1
11982,12580,12573,1
11983,12581,12573,1
11984,12582,12548,1
11985,12583,12582,1
11986,12584,12548,1
11987,12585,12582,1
11988,12586,12548,1
11989,12587,12548,1
11990,12588,13604,1
11991,12589,12586,1
11992,12590,13604,1
11993,12591,13604,1
11994,12592,13604,1
11995,12593,12586,1
11996,12594,12593,1
11997,12595,12586,1
11998,12596,12586,1
11999,12597,11757,1
12000,12598,11757,1
12001,12599,12598,1
12002,12600,12598,1
12003,12601,12600,1
12004,12602,12601,1
12005,12603,11736,1
12006,12604,12603,1
12007,12605,12603,1
12008,12606,12605,1
12009,12607,12605,1
12010,12608,12605,1
12011,12609,12603,1
12012,12610,12609,1
12013,12611,12609,1
12014,12612,12609,1
12015,12613,12603,1
12016,12614,12603,1
12017,12615,12613,1
12019,12616,12613,1
12018,12616,17661,1
12020,12617,11736,1
12021,12618,17528,1
12022,12619,12603,1
12023,12620,12619,1
12024,12621,12619,1
12025,12622,12619,1
12026,12623,12622,1
12027,12624,12622,1
12028,12625,12622,1
12029,12626,12619,1
12030,12627,12626,1
12031,12628,12619,1
12032,12629,12619,1
12033,12630,12619,1
12034,12631,12622,1
12035,12632,12631,1
12036,12633,17032,1
12037,12634,12633,1
12038,12635,12603,1
12039,12636,12508,1
12040,12637,12636,1
12041,12638,12508,1
12042,12639,12586,1
12043,12640,12643,1
12044,12641,12640,1
12045,12642,12639,1
12046,12643,12639,1
12047,12644,12643,1
12048,12645,12643,1
12049,12646,12643,1
12050,12647,12643,1
12051,12648,12639,1
12052,12649,12648,1
12053,12650,12648,1
12054,12651,14348,1
12055,12652,12639,1
12056,12653,12652,1
12057,12654,12652,1
12058,12655,17175,1
12059,12656,12655,1
12060,12657,12652,1
12061,12658,12657,1
12062,12659,12658,1
12063,12660,12658,1
12064,12661,12658,1
12065,12662,12663,1
12066,12663,12658,1
12067,12664,12639,1
12068,12665,12664,1
12069,12666,12639,1
12070,12667,12666,1
12071,12668,12639,1
12072,12669,12639,1
12073,12670,12669,1
12074,12671,12669,1
12075,12672,12639,1
12076,12673,12672,1
12077,12674,12672,1
12078,12675,12672,1
12079,12676,12672,1
12080,12677,12672,1
12081,12678,12672,1
12082,12679,12677,1
12083,12680,12677,1
12084,12681,12677,1
12085,12682,12639,1
12086,12683,12682,1
12087,12684,12682,1
12088,12685,12714,1
12089,12686,12682,1
12090,12687,12682,1
12091,12688,12687,1
12092,12689,12687,1
12093,12690,12687,1
12094,12691,12690,1
12095,12692,12689,1
12096,12693,12690,1
12097,12694,12690,1
12098,12695,12694,1
12099,12696,12694,1
12100,12697,12682,1
12101,12698,12682,1
12102,12699,12682,1
12103,12700,12672,1
12104,12701,12699,1
12105,12702,12701,1
12106,12703,12699,1
12107,12704,12699,1
12108,12705,12699,1
12109,12706,12690,1
12110,12707,12682,1
12111,12708,12690,1
12112,12709,12708,1
12113,12710,12690,1
12114,12711,12682,1
12115,12712,12711,1
12116,12713,12687,1
12117,12714,12687,1
12118,12715,12714,1
12119,12716,12714,1
12120,12717,12682,1
12121,12718,12717,1
12122,12719,17393,1
12123,12720,17393,1
12124,12721,12719,1
12125,12722,12719,1
12126,12723,12719,1
12127,12724,12719,1
12128,12725,17393,1
12129,12726,15462,1
12130,12727,12682,1
12131,12728,12727,1
12132,12729,12727,1
12133,12730,12682,1
12134,12731,12682,1
12135,12732,12639,1
12136,12733,12639,1
12137,12734,12733,1
12138,12735,12639,1
12139,12736,12735,1
12140,12737,12639,1
12141,12738,12737,1
12142,12739,12737,1
12143,12740,12737,1
12144,12741,12639,1
12145,12742,12639,1
12146,12743,12639,1
12147,12744,12743,1
12148,12745,12744,1
12149,12746,12744,1
12150,12747,12744,1
12151,12748,12743,1
12152,12749,12748,1
12153,12750,12748,1
12154,12751,12586,1
12155,12752,12754,1
12156,12753,12752,1
12157,12754,12751,1
12158,12755,12754,1
12159,12756,12754,1
12160,12757,12754,1
12161,12758,12751,1
12162,12759,12751,1
12163,12760,12639,1
12164,12761,12669,1
12165,12762,12669,1
12166,12763,12669,1
12167,12764,12751,1
12168,12765,12672,1
12169,12766,12586,1
12170,12767,12405,1
12171,12768,12766,1
12172,12769,12586,1
12173,12770,12769,1
12174,12771,11882,1
12175,12772,12769,1
12176,12773,12769,1
12177,12774,12769,1
12178,12775,12931,1
12179,12776,12769,1
12180,12777,12769,1
12181,12778,12779,1
12182,12779,12777,1
12183,12780,12779,1
12184,12781,12777,1
12185,12782,12769,1
12186,12783,12769,1
12188,12784,12769,1
12187,12784,16760,1
12189,12785,12769,1
12190,12786,12769,1
12191,12787,12769,1
12192,12788,12769,1
12193,12789,12788,1
12194,12790,12769,1
12195,12791,12769,1
12196,12792,12275,1
12197,12792,12769,1
12198,12793,13885,1
12199,12794,12769,1
12200,12795,12769,1
12201,12796,12769,1
12202,12797,12774,1
12203,12798,12586,1
12204,12799,17952,1
12205,12800,12777,1
12206,12801,50848,1
12207,12802,12783,1
12208,12803,12783,1
12209,12804,12783,1
12210,12805,12586,1
12211,12806,12805,1
12212,12807,12806,1
12213,12808,12805,1
12214,12809,12805,1
12215,12810,12805,1
12216,12811,12805,1
12217,12812,12805,1
12218,12813,12805,1
12219,12814,12805,1
12220,12815,12814,1
12221,12816,12805,1
12222,12817,12981,1
12223,12818,12824,1
12224,12819,12805,1
12225,12820,12586,1
12226,12821,12820,1
12227,12822,12820,1
12228,12823,12586,1
12229,12824,12586,1
12230,12825,12829,1
12231,12826,12825,1
12232,12827,12825,1
12233,12828,12825,1
12234,12829,12824,1
12235,12830,12829,1
12236,12831,12829,1
12237,12832,12829,1
12238,12833,12824,1
12239,12834,12833,1
12240,12835,12833,1
12241,12836,12833,1
12242,12837,12836,1
12243,12838,12833,1
12244,12839,12833,1
12245,12840,12833,1
12246,12841,17879,1
12247,12842,12841,1
12248,12843,16760,1
12249,12844,12833,1
12250,12845,12840,1
12251,12846,12840,1
12252,12847,12840,1
12253,12848,12833,1
12254,12849,12848,1
12255,12850,12833,1
12256,12851,12833,1
12257,12852,12851,1
12258,12853,12852,1
12259,12854,12851,1
12261,12855,12833,1
12260,12855,12858,1
12263,12856,12858,1
12262,12856,16777,1
12264,12857,12858,1
12265,12858,14479,1
12266,12859,12858,1
12267,12860,12858,1
12268,12861,12858,1
12269,12862,12968,1
12270,12863,12858,1
12271,12864,12868,1
12272,12865,12868,1
12273,12866,12865,1
12274,12867,12868,1
12275,12868,14908,1
12276,12869,12868,1
12277,12870,12856,1
12278,12871,12856,1
12279,12872,12871,1
12280,12873,12871,1
12281,12874,12871,1
12282,12875,12856,1
12283,12876,12856,1
12284,12877,14922,1
12285,12878,12824,1
12286,12879,12878,1
12287,12880,12879,1
12288,12881,12878,1
12289,12882,12878,1
12290,12883,12882,1
12291,12884,12824,1
12292,12885,12824,1
12293,12886,12824,1
12294,12887,12886,1
12295,12888,12824,1
12296,12889,12824,1
12297,12890,12889,1
12298,12891,12586,1
12299,12892,12891,1
12300,12893,12891,1
12301,12894,12586,1
12302,12895,12894,1
12303,12896,12894,1
12304,12897,12894,1
12305,12898,12894,1
12306,12899,12894,1
12307,12900,12894,1
12308,12901,12894,1
12309,12902,12894,1
12310,12903,12894,1
12311,12904,12903,1
12312,12905,12903,1
12313,12906,12903,1
12314,12907,12824,1
12315,12908,12824,1
12316,12909,12908,1
12317,12910,12824,1
12318,12911,12824,1
12319,12912,12824,1
12320,12913,12912,1
12321,12914,12886,1
12322,12915,12824,1
12323,12916,12824,1
12324,12917,12586,1
12325,12918,12917,1
12326,12919,12918,1
12327,12920,12824,1
12328,12921,12824,1
12329,12922,12921,1
12330,12923,12921,1
12331,12924,12921,1
12332,12925,12924,1
12333,12926,12924,1
12334,12927,12926,1
12335,12928,12924,1
12336,12929,12928,1
12337,12930,12921,1
12338,12931,12921,1
12339,12932,12931,1
12340,12933,12931,1
12341,12934,12921,1
12342,12935,12937,1
12343,12936,12934,1
12344,12937,12934,1
12345,12938,12934,1
12346,12939,12934,1
12347,12940,12921,1
12348,12941,12924,1
12349,12942,12924,1
12350,12943,12924,1
12351,12944,14524,1
12352,12945,14524,1
12353,12946,12945,1
12354,12947,12586,1
12355,12948,12947,1
12356,12949,12947,1
12357,12950,12947,1
12358,12951,12947,1
12359,12952,12947,1
12360,12953,12947,1
12361,12954,12947,1
12362,12955,12947,1
12363,12956,12947,1
12364,12957,12947,1
12365,12958,12957,1
12366,12959,12586,1
12367,12960,12959,1
12368,12961,12960,1
12369,12962,12961,1
12370,12963,12959,1
12371,12964,12963,1
12372,12965,12959,1
12373,12966,12959,1
